typo_domain,correct_domain
gmial.com,gmail.com
gmal.com,gmail.com
gnail.com,gmail.com
gamil.com,gmail.com
gmaill.com,gmail.com
gmai.com,gmail.com
gmailc.com,gmail.com
gmali.com,gmail.com
gmailo.com,gmail.com
gmai1.com,gmail.com
gimail.com,gmail.com
gmailcom.com,gmail.com
gmails.com,gmail.com
gmailx.com,gmail.com
gmaill.com,gmail.com
glmail.com,gmail.com
gmil.com,gmail.com
gmaik.com,gmail.com
gmait.com,gmail.com
gamail.com,gmail.com
gemail.com,gmail.com
gmail.co,gmail.com
gmail.cm,gmail.com
gmail.cmo,gmail.com
gmail.con,gmail.com
gmail.ocm,gmail.com
gmail.net,gmail.com
gmail.org,gmail.com
yaho.com,yahoo.com
yahooo.com,yahoo.com
yaho.com,yahoo.com
yaho.co,yahoo.com
yaho.cm,yahoo.com
yahoo.co,yahoo.com
yahoo.cm,yahoo.com
yahoo.con,yahoo.com
yahoo.cmo,yahoo.com
yahoo.ocm,yahoo.com
yhoo.com,yahoo.com
yaahoo.com,yahoo.com
yhaoo.com,yahoo.com
yaoo.com,yahoo.com
ahoo.com,yahoo.com
yahooo.com,yahoo.com
yahoomail.com,yahoo.com
hotnail.com,hotmail.com
hotmai.com,hotmail.com
hotmial.com,hotmail.com
hotmaill.com,hotmail.com
hotmaii.com,hotmail.com
hotmali.com,hotmail.com
hotmaill.com,hotmail.com
hotmal.com,hotmail.com
hotmil.com,hotmail.com
hotmail.co,hotmail.com
hotmail.cm,hotmail.com
hotmail.con,hotmail.com
hotmail.cmo,hotmail.com
hotmail.ocm,hotmail.com
hotmail.net,hotmail.com
hotmaill.com,hotmail.com
htomail.com,hotmail.com
hotmial.com,hotmail.com
hotmaill.com,hotmail.com
outllok.com,outlook.com
outlok.com,outlook.com
outloook.com,outlook.com
outlookk.com,outlook.com
outlok.com,outlook.com
outloo.com,outlook.com
outlook.co,outlook.com
outlook.cm,outlook.com
outlook.con,outlook.com
outlook.cmo,outlook.com
outlook.ocm,outlook.com
outl0ok.com,outlook.com
outlooik.com,outlook.com
ouutlook.com,outlook.com
outlookmail.com,outlook.com
otulook.com,outlook.com
ooutlook.com,outlook.com
iclud.com,icloud.com
icould.com,icloud.com
iclould.com,icloud.com
iclooud.com,icloud.com
icloud.co,icloud.com
icloud.cm,icloud.com
icloud.con,icloud.com
icloud.cmo,icloud.com
icloud.ocm,icloud.com
icoud.com,icloud.com
icluod.com,icloud.com
iclod.com,icloud.com
icoud.com,icloud.com
aol.co,aol.com
aol.cm,aol.com
aol.con,aol.com
aol.cmo,aol.com
aol.ocm,aol.com
aool.com,aol.com
aoll.com,aol.com
aolmail.com,aol.com
protonmai.com,protonmail.com
protommail.com,protonmail.com
protonmial.com,protonmail.com
protonmaill.com,protonmail.com
protonmail.co,protonmail.com
protonmail.cm,protonmail.com
protonmail.con,protonmail.com
protonmail.cmo,protonmail.com
protonmail.ocm,protonmail.com
protonmali.com,protonmail.com
protonmal.com,protonmail.com
prtonmail.com,protonmail.com
live.co,live.com
live.cm,live.com
live.con,live.com
live.cmo,live.com
live.ocm,live.com
livee.com,live.com
livemail.com,live.com
msn.co,msn.com
msn.cm,msn.com
msn.con,msn.com
msn.cmo,msn.com
msn.net,msn.com
msnmail.com,msn.com
yandex.co,yandex.com
yandex.cm,yandex.com
yandex.con,yandex.com
yandex.cmo,yandex.com
mail.co,mail.com
mail.cm,mail.cm
mail.con,mail.com
mail.cmo,mail.com
gmx.co,gmx.com
gmx.cm,gmx.com
gmx.con,gmx.com
gmx.net,gmx.com
zoho.co,zoho.com
zoho.cm,zoho.com
zoho.con,zoho.com
rocketmail.co,rocketmail.com
rocketmail.con,rocketmail.com
sbcglobal.ne,sbcglobal.net
sbcglobal.nte,sbcglobal.net
comcast.ne,comcast.net
comcast.nte,comcast.net
verizon.ne,verizon.net
verizon.nte,verizon.net
att.ne,att.net
att.nte,att.net
cox.ne,cox.net
cox.nte,cox.net
earthlink.ne,earthlink.net
earthlink.nte,earthlink.net
bellsouth.ne,bellsouth.net
bellsouth.nte,bellsouth.net
charter.ne,charter.net
charter.nte,charter.net
me.co,me.com
me.cm,me.com
me.con,me.com
me.cmo,me.com
mac.co,mac.com
mac.cm,mac.com
mac.con,mac.com
yahoo.con,yahoo.com
gmail.vom,gmail.com
hotmail.vom,hotmail.com
outlook.vom,outlook.com
gmail.ocm,gmail.com
yahoo.vom,yahoo.com
homail.com,hotmail.com
gmaim.com,gmail.com
gmaio.com,gmail.com
gmain.com,gmail.com
gmaiil.com,gmail.com
gmaiel.com,gmail.com
